Equipe,Score final
ISAE-SUPAERO 1,14.5
Toulouse INP - ENSEEIHT 1,14
INSA Strasbourg,13
UTC 1,12.5
IMT - Mines Alès 1,11
ISAE-SUPAERO 2,11
UTC 2,7
Toulouse INP - ENSEEIHT 3,5.5
ECAM 1,5
ISAE-SUPAERO 3,5
IMT - Mines Alès 2,4.5
Toulouse INP - ENSEEIHT 2,4
ECAM 2,4
EFREI 1,2.5
ENSIIE 2,2.5
ECAM 3,2
UTC 3,1
ENSIIE 1,0
Polytechnique,0
EFREI 2,0
