Equipe,Score final
EFREI 1,15.5
ENSIIE 1,13
ISAE-SUPAERO 1,13
UTC 1,12.5
IMT - Mines Alès 1,11.5
Polytechnique,11.5
Toulouse INP - ENSEEIHT 1,11.5
INSA Strasbourg,11
IMT - Mines Alès 2,11
UTC 2,10
ENSIIE 2,8.5
UTC 3,6.5
ISAE-SUPAERO 2,6
ECAM 1,5.5
Toulouse INP - ENSEEIHT 2,5.5
ECAM 2,4.5
EFREI 2,4
ISAE-SUPAERO 3,2
Toulouse INP - ENSEEIHT 3,2
ECAM 3,2
