Equipe,Score final
ECAM 1,26.5
ENSIIE 1,26
EFREI 1,23.5
ISAE-SUPAERO 1,23
IMT - Mines Alès 1,21.5
UTC 1,21
INSA Strasbourg,20.5
IMT - Mines Alès 2,19
ENSIIE 2,18
Polytechnique,18
ISAE-SUPAERO 2,17.5
Toulouse INP - ENSEEIHT 1,17
UTC 2,16
EFREI 2,12.5
ISAE-SUPAERO 3,12.5
Toulouse INP - ENSEEIHT 2,12
Toulouse INP - ENSEEIHT 3,11.5
UTC 3,11.5
ECAM 2,11
ECAM 3,8
