Equipe,Score final
EFREI 1,257
ENSIIE 1,247
ISAE-SUPAERO 1,232
UTC 1,217.5
IMT - Mines Alès 1,211
INSA Strasbourg,201.5
IMT - Mines Alès 2,194
Polytechnique,193.5
Toulouse INP - ENSEEIHT 1,188.5
ECAM 1,182
UTC 2,170
ENSIIE 2,166.5
ISAE-SUPAERO 2,141.5
UTC 3,116
Toulouse INP - ENSEEIHT 2,109.5
EFREI 2,98.5
ECAM 2,95.5
ISAE-SUPAERO 3,80.5
Toulouse INP - ENSEEIHT 3,75.5
ECAM 3,58
