Equipe,Score final
ENSIIE 1,25.5
ISAE-SUPAERO 1,24.5
UTC 1,23
Toulouse INP - ENSEEIHT 1,21.5
IMT - Mines Alès 1,20
INSA Strasbourg,20
ISAE-SUPAERO 2,18.5
UTC 2,16.5
EFREI 1,15
Polytechnique,11.5
ECAM 1,10
ENSIIE 2,10
ECAM 2,10
IMT - Mines Alès 2,9.5
EFREI 2,9.5
UTC 3,9
Toulouse INP - ENSEEIHT 2,9
ISAE-SUPAERO 3,5
Toulouse INP - ENSEEIHT 3,4.5
ECAM 3,2
