Equipe,Score final
EFREI 1,26.5
Polytechnique 1,25.5
ENSIIE 1,21
ISAE-SUPAERO,21
INSA Strasbourg,18.5
UTC 2,18
ENSIIE 2,17.5
ENSIIE 3,17.5
Toulouse INP - ENSEEIHT 1,17
UTC 1,15
EFREI 2,14.5
EFREI 3,14
Toulouse INP - ENSEEIHT 2,13
EPITA,10.5
ENIB,10
ECAM 2,9
Toulouse INP - ENSEEIHT 3,8
ENSIIE 4,7.5
UTC 3,6.5
ECAM 1,5.5
ECAM 3,4
Toulouse INP - ENSEEIHT 4,3
Polytechnique Bachelor,3
ENSIIE 5,0
