Equipe,Score final
ENSIIE 1,15
Polytechnique 1,13
Toulouse INP - ENSEEIHT 1,12
EFREI 2,11
Polytechnique 2,10.5
EFREI 3,8.5
ENSIIE 3,8
INSA Strasbourg,8
Toulouse INP - ENSEEIHT 2,7.5
ENIB,6.5
UTC 2,6
Toulouse INP - ENSEEIHT 3,6
ISAE-SUPAERO,4.5
ECAM 1,4
ENSIIE 2,3.5
ENSIIE 4,3.5
UTC 1,3
ECAM 2,3
UTC 3,3
EPITA,2.5
EFREI 1,2
ECAM 3,0
Polytechnique Bachelor,0
Toulouse INP - ENSEEIHT 4,0
ENSIIE 5,0
