Equipe,Score final
UTC 1,16
ENSIIE 1,14
EFREI 1,13
Toulouse INP - ENSEEIHT 1,12
ENSIIE 3,10.5
Toulouse INP - ENSEEIHT 2,10
EFREI 2,9.5
ECAM 2,9.5
UTC 2,8
ENSIIE 2,8
Polytechnique 1,8
EFREI 3,7.5
INSA Strasbourg,7
ECAM 3,7
Toulouse INP - ENSEEIHT 3,7
UTC 3,5.5
ENIB,3.5
ECAM 1,3
ENSIIE 4,3
Toulouse INP - ENSEEIHT 4,3
ENSIIE 5,3
Polytechnique 2,0
Polytechnique Bachelor,0
EPITA,0
