Equipe,Score final
UTC 1,24
UTC 2,"12,5"
UTC 3,"11,5"
EFREI 1,20
EFREI 2,20
EFREI 3,15
ENIB,"11,5"
INSA Strasbourg,17
ECAM 1,27
ECAM 2,"19,5"
ECAM 3,15
ENSIIE 1,18
ENSIIE 2,17
ENSIIE 3,13
ENSIIE 4,8
Toulouse INP - ENSEEIHT 1,"22,5"
Toulouse INP - ENSEEIHT 2,"18,5"
Toulouse INP - ENSEEIHT 3,13
Toulouse INP - ENSEEIHT 4,"6,5"
ENSIIE 5,9
Polytechnique 1,"22,5"
Polytechnique 2,"5,5"
Polytechnique Bachelor,18
EPITA,0
