Equipe,Tournoi 1,Tournoi 2,Tournoi 3,Tournoi 4,Total
ENSIIE 1,18,14,21,15,366
Polytechnique 1,22.5,8,25.5,13,357
EFREI 1,20,13,26.5,2,349.5
UTC 1,24,16,15,3,339
Toulouse INP - ENSEEIHT 1,22.5,12,17,12,328.5
EFREI 2,20,9.5,14.5,11,284.5
ENSIIE 3,13,10.5,17.5,8,254
Toulouse INP - ENSEEIHT 2,18.5,10,13,7.5,250
INSA Strasbourg,17,7,18.5,8,249.5
ENSIIE 2,17,8,17.5,3.5,244.5
ECAM 2,19.5,9.5,9,3,228
UTC 2,12.5,8,18,6,224.5
EFREI 3,15,7.5,14,8.5,221.5
ECAM 1,27,3,5.5,4,198.5
Toulouse INP - ENSEEIHT 3,13,7,8,6,182
ENIB,11.5,3.5,10,6.5,166
ECAM 3,15,7,4,0,158
ISAE-SUPAERO,0,0,21,4.5,145.5
UTC 3,11.5,5.5,6.5,3,139.5
Polytechnique 2,5.5,0,0,10.5,122
ENSIIE 4,8,3,7.5,3.5,109
Polytechnique Bachelor,18,0,3,0,105
EPITA,0,0,10.5,2.5,75
Toulouse INP - ENSEEIHT 4,6.5,3,3,0,74.5
