Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
55,27,FRA,,Nooobel,,1819,W89B,L2W,L39B,D76W,D46W,2,3
55,65,FRA,,ImpactMaizena,,1386,L4W,U--,W87B,W75W,L44B,2,3
60,51,FRA,,AquaiceK,Louis Kervella,2007,L1W,L80B,L48W,W87B,W91B,2,2
60,59,FRA,,Kedrazia,,1736,L16W,W91B,L37W,L57W,W82B,2,2
60,52,MAR,,GodKurono,Ziyad Oulhaj,1638,L2B,W89W,L33B,W84W,L22W,2,2
60,57,FRA,,Kxeropt,Alexis  Plessias,1407,L22W,W86B,L36B,L40W,W88B,2,2
60,60,FRA,,Protecteur-Fantome,,1351,L7B,W87W,L15B,W78W,L21B,2,2
60,32,FRA,,loulouB10,loulou B10,1748,W86W,L12W,L10B,L38B,W89W,2,2
60,45,FRA,,Flox121,,1416,W94B,W54B,L20W,L8W,L43B,2,2
60,48,FRA,,Vincebeatbox2001,,1531,W90W,L5W,L46B,L25B,W86W,2,2
60,71,FRA,,Maxime0601,Maxime Henry,1169,L9W,L21W,W88B,L23W,W85B,2,2
60,97,CZE,,PontsLouis,Louis Galiègue,1395,L55W,L81B,W86W,L28W,W77B,2,2
60,58,FRA,,Maxou-Blavoux,Maxime Blavoux,1425,L12B,L46W,W83W,W89B,L35B,2,2
71,36,FRA,,ENSTA2024,,1785,W98W,U--,W76B,L12W,L40B,2,1.5
72,42,FRA,,Nattanio7,Nathan Thierry,1735,W103W,L26W,W77B,L9B,L28W,2,1
72,63,FRA,,kaiiisuuus,,1372,L49W,W93B,L27B,W85W,L23B,2,1
72,88,FRA,,Slywind,,1106,L45B,U--,L25W,W100W,W84B,2,1
75,94,FRA,,pierreandre3965,,928,L24B,L76B,W95W,L59B,W100B,2,0
76,64,FRA,,Dolberg,,1370,L26B,W75W,L71W,D58B,L50W,1.5,3
77,72,FRA,,lil_flowtante,,1170,W8B,L35B,L72W,L34B,L69W,1,4
78,80,FRA,,shalowan,Thomas Abbo,1199,W21B,L47W,L24W,L64B,L53W,1,3
79,46,FRA,,Sayial,,1601,W57W,L31W,U--,U--,U--,1,2
79,73,FRA,,nikolamf,,1349,L35W,W60W,L44B,L42B,L52W,1,2
79,68,FRA,,leonarddarbeau,,1248,L31B,W69W,L32B,L41B,U--,1,2
79,87,FRA,,migoumigou,,1049,W53W,L29B,L55B,L43W,L61W,1,2
83,75,FRA,,nicolasbouchet63,Nicolas Bouchet,976,L29W,L56W,L70B,W90W,U--,1,1
84,67,FRA,,ahmadrasydan,,978,L54W,L57B,W99W,L62B,L74W,1,0
84,100,FRA,,zayteckk,,657,L3B,U--,BYE,L73B,L68W,1,0
84,82,FRA,,Aimatik,Guillaume Revel,1124,L65B,L63W,L69B,W93W,L67B,1,0
84,85,FRA,,Baitwod,Bastien Monkey,1024,L14W,L64B,L59W,L60W,W94B,1,0
84,91,FRA,,yanncotineau,,1060,L34W,U--,L68W,W95B,L63W,1,0
84,77,FRA,,TheAtrossian,,1412,L58W,L62B,W103B,L70W,L65B,1,0
84,98,USA,,LGE007,Paul Glpn,735,L67B,L51W,U--,L83B,BYE,1,0
84,83,NOR,,BenediktM,Benedikt Mithassel,1097,L27W,L61W,L28B,W94B,L60W,1,0
84,89,FRA,,lordhululung,,1000,U--,U--,U--,U--,W95W,1,0
93,93,FRA,,NatDraK,,985,L44W,L73W,U--,L86B,U--,0,0
93,95,FRA,,Hergam4,,839,L66W,L38B,L40B,L91W,L87W,0,0
93,81,FRA,,GneuGneuGne,,1090,L15W,L39B,L75B,L88W,L92B,0,0
93,54,FRA,,Wealthiest30,Romain F,1446,L13B,U--,U--,U--,U--,0,0
93,74,FRA,,El-Smith4233,,1070,L47B,L41B,L42W,U--,U--,0,0
93,86,FRA,,nina_puy,Nina Puydoyeux,890,L71B,U--,U--,U--,U--,0,0
93,89,ITA,,giuliocorallo,Giulio Corallo,1049,L30W,U--,L84B,U--,U--,0,0
93,79,ITA,,lorenzopisano,Lorenzo Pisanò,1162,L37W,U--,U--,L74B,L75W,0,0
93,78,NOR,,Nuggeten,Christian Nguyen,1385,L36B,U--,U--,U--,U--,0,0
102,16,FRA,,PontsMatthieu,,2074,W38W,W24B,L6W,U--,U--,2,2
103,92,FRA,,Cubacide,Jonathan D,981,L72B,L43B,L89W,U--,U--,0,0


