Équipe, Score Final
ECAM 1,24.5
Centrale Supélec 1,24
ENSAE 1,21
Grenoble INP - Esisar 1,20.5
Ponts et Chaussées 1,20.5
Toulouse INP - ENSEEIHT 1,20.5
Polytech Orléans 1,17
EFREI 2,16
EFREI 1,14
Toulouse INP - ENSEEIHT 3,14
ECAM 2,12
EFREI 3,11
INSA Strasbourg 1,7
Toulouse INP - ENSEEIHT 2,7
