Equipe,Tournoi 1,Tournoi 2,Tournoi 3,Tournoi 4,Total
Grenoble INP - Esisar 1,20.5,9.5,18.5,11.5,384
Toulouse INP - ENSEEIHT 1,20.5,11,25,6,380.5
INSA Strasbourg 1,7,11.5,16.5,12,329
Polytech Orléans 1,16,9,14.5,9.5,319
Ponts et Chaussées 1,20.5,6,5,11,280.5
EFREI 1,14,11.5,11.5,4,267
EFREI 2,16,6,9.5,9,262.5
ENGEES 1,,,21.5,13.5,229
ENSAE 1,21,13,,,222
Toulouse INP - ENSEEIHT 3,14,7.5,6,5,212.5
Polytechnique 1,,,22,8,182
ECAM LaSalle 1,24.5,5,,,167.5
Centrale Supélec 1,24,,,,120
ECAM LaSalle 2,12,2,4.5,2,118.5
EPITA 1,,,,11,99
EFREI 3,11,2,2.5,1.5,99
Toulouse INP - ENSEEIHT 2,7,,,7,98
IMT Mines d'Ales 1,,,,9,81
