Équipe,Score Final
Toulouse INP - ENSEEIHT 1,25
Polytechnique 1,22
ENGEES 1,21.5
Grenoble INP - Esisar 1,18.5
INSA Strasbourg 1,16.5
Polytech Orléans 1,14.5
EFREI 1,11.5
EFREI 2,9.5
Toulouse INP - ENSEEIHT 3,6
Ponts et Chaussées 1,5
ECAM 2,4.5
EFREI 3,2.5
