Équipe,Score Final
ENSAE 1,13
EFREI 1,11.5
INSA Strasbourg 1,11.5
Toulouse INP - ENSEEIHT 1,11
Grenoble INP - Esisar 1,9.5
Polytech Orléans 1,9
Toulouse INP - ENSEEIHT 3,7.5
Ponts et Chaussées 1,6
EFREI 2,6
ECAM 1,5
ECAM 2,2
EFREI 3,2
