Equipe,Score final
Polytechnique,14.5
UTC 1,14.5
Grenoble INP - Esisar 1,14
ENSIIE 1,13
Polytechnique Bachelors,12
ECAM LaSalle,12
INSA Strabourg,11
ENGEES 1,10.5
Toulouse INP - Enseeiht 2,10
EFREI 1,9.5
UTC 2,9.5
ENSSAT 1,9
Toulouse INP - Enseeiht 3,9
Centrale Nantes,8.5
ENSIIE 2,8.5
Toulouse INP - Enseeiht 1,8
ENIB,8
ENSICAEN 2,7
ESAIP,6.5
ENSIIE 3,5.5
Télécom Physique Strasbourg,5.5
ENSICAEN 1,4.5
Mines Alès 1,4
EFREI 2,3
ESITC Paris,2
Mines Alès 2,2
EFREI 3,2
ENSIIE 4,2
Grenoble INP - Esisar 2,2
ENGEES 2,1.5
ENSIIE 5,1.5
Toulouse INP - ENSIACET,1
