Equipe,Score final
ISAE Supaéro,16
Polytechnique Bachelors,15.5
UTC 1,15.5
EFREI 1,14.5
Polytechnique,14.5
Toulouse INP - Enseeiht 1,14.5
Centrale Nantes,14
ENSIIE 1,13
ENSIIE 2,11
Grenoble INP - Esisar 1,11
Toulouse INP - Enseeiht 2,11
INSA Strabourg,10
ENGEES 1,9.5
Toulouse INP - ENSIACET,9.5
ESAIP,9
ENSSAT 1,8
UTC 2,8
Toulouse INP - Enseeiht 3,8
ENIB,8
ENSICAEN 1,7
ESITC Paris,6.5
Mines Alès 2,6
ENSIIE 3,5
Grenoble INP - Esisar 2,5
EPITA,4.5
Polytech Paris-Saclay 1,4
Télécom Physique Strasbourg,4
EFREI 3,4
EFREI 2,3.5
ENSICAEN 2,3
ENSIIE 4,3
ENSSAT 2,2.5
ENSIIE 5,2
Centrale Supélec 2,1
EFREI 4,1
